#separator:tab
#html:true
#tags column:3
Fill The Blank: Data is stored by .........................., organisations, businesses and ................	Governments, People
Fill The Blank: Data has no ............... and can be ......................... or ...............................	Meaning, Qualititative, Quantitative
Fill The Blank: Data is ......... facts and ................... before it has been ......................... and data can be made up of letters, .................., symbols, graphics and ..................	Raw, Figures, Processed, Numbers, Sounds
Define: Data	Raw facts and figures before they have been processed
Define: Qualitative Data	Non-numerical data
Define: Quantitative Data	Numerical Data
Define: Information	data + [structure] + [context] + meaning
Fill The Blank: Information is created when data is ........................, sometimes it is unneccessary to give data ................. and .................... to become information	Processed, Structure, Context
Explain: Briefly, structure of data	How it is presented (eg: NN/NN/NNNN)
Explain: Briefly, context of data	Context of data is the environment that we know and understand to make sense of the data
Fill The Blank: The ................ of data is that it is in the correct structure and put into context	Meaning
Fill The Blank: Information is in ................... while data has no ...................	Context
Fill The Blank: Information is data which has been coded/........................	Structured
Fill The Blank: Data must be .................. to become information	Processed
Explain: The order, and links, between data, information and knowledge	Data -> Information -> Knowledge
Explain: Order of DIKW pyramid	Data, Information, Knowledge, Wisdom. As steps are taken upwards through the levels (towards wisdom), questions can be asked about the data and answers provided with each step adding value to the data
Fill The Blank: Linking a range of ........... can also represent information	Data
Fill The Blank: As soon as information is processed, linked and stored by a digital system or a person it become .....................	Knowledge
Fill The Blank: Businesses and organisations collect and store data and will use this data to provide information which can then be used to make strategic ...................	Decisions
Fill The Blank: It is important data is stored in a way that allows the user to .......................	Manipulate
Fill The Blank: The selected data ........ will depend on what data is to be stored and how it will be used and/or ........................	Type, Processed
State: 6 main datatypes	Boolean. Character. Date. Integer. Real. String
Explain: Boolean data type and give an example of data	Only 2 choices. 'Yes or no' OR 'True or false'
Explain: Character data type and give an example of data	Stores single character which can be a letter, number or symbol. '$' OR 'A' - any character
Explain: Date data type and give an example of data	Date with a defined structure (format will depend on how the date is used to be stored and processed. '12/02/2025'
Explain: Integer data type and give an example of data	Whole numbers (positive or negative). '-99' OR '1'
Explain: Real data type and give an example of data	Any number, with or without decimal places (positive or negative). '12.3' OR '-2492'
Explain: String data type and give an example of data	Stores alphanumeric combinations and text; a group of characters stored together as one. '3T6HjV' OR 'Oxford Place'
